ID;X;Y;ce;;;
242;600429;229867;0.1;;;
243;604065;239365;0.4;;;
244;605797;227644;0.2;;;
245;611543;225491;0.1;;;
246;621332;222741;0.1;;;
247;631376;219170;0.1;;;
248;630864;225511;0.2;;;
249;625402;232836;0.2;;;
250;639308;221214;0.2;;;
251;644527;211390;0.4;;;
252;636738;210774;0.1;;;
253;629268;209000;0.1;;;
254;512441;194093;0.1;;;
255;506417;186016;0.2;;;
256;500302;174227;0.1;;;
257;493285;169249;0.1;;;
258;481616;168643;0.1;;;
259;505972;168894;0.1;;;
260;512501;173460;0.1;;;
261;526457;161924;0.1;;;
262;519880;153119;0.1;;;
263;520870;170334;0.1;;;
264;533863;150865;0.1;;;
265;535386;158785;0.1;;;
266;542676;145131;0.1;;;
267;551527;138935;0.1;;;
268;552278;145324;0.1;;;
269;560045;142214;0.1;;;
270;565644;146538;0.1;;;
271;569240;161029;0.1;;;
272;554449;218070;0.1;;;
273;566798;216574;0.1;;;
274;570291;222711;0.1;;;
275;574592;217756;0.1;;;
276;579408;229945;0.1;;;
277;586175;245483;0.1;;;
278;482530;230535;0.1;;;
279;472872;232576;0.1;;;
280;474573;239625;0.1;;;
281;650529;206754;0.1;;;
282;658423;194329;0.2;;;
283;664413;190137;0.1;;;
284;668830;182136;0.1;;;
285;680074;180720;0.1;;;
286;673707;177509;0.1;;;
287;685895;168863;0.1;;;
288;689371;175689;0.1;;;
289;678105;173845;0.1;;;
290;658541;179310;0.1;;;
291;657830;171342;0.1;;;
292;650980;175816;0.1;;;
293;640475;175535;0.2;;;
294;649739;191950;0.1;;;
295;640971;190089;0.1;;;
296;652846;187362;0.1;;;
297;641268;200945;0.2;;;
298;380967;295359;0.1;;;
299;613000;54800;0.4;;;
300;610000;60800;0.1;;;
301;574800;80000;0.1;;;
302;584400;74400;0.1;;;
303;593223;78222;0.1;;;
304;614269;42687;0.1;;;
305;540964;269164;0.1;;;
306;541175;258482;0.1;;;
307;553901;264483;0.1;;;
308;551392;271355;0.1;;;
309;558445;275704;0.1;;;
310;564153;267437;0.1;;;
311;576245;272702;0.2;;;
312;572200;263595;0.1;;;
313;581171;265900;0.1;;;
314;524680;235532;0.1;;;
315;558225;162810;0.1;;;
316;562350;153974;0.1;;;
317;554222;157439;0.1;;;
318;571741;153195;0.1;;;
319;578901;165371;0.1;;;
320;578263;150764;0.1;;;
321;574828;142682;0.1;;;
322;575707;134867;0.1;;;
323;581579;140775;0.1;;;
324;590454;137697;0.1;;;
325;597776;130157;0.1;;;
326;607885;122597;0.1;;;
327;605983;137271;0.1;;;
328;595868;141453;0.1;;;
329;585175;148661;0.1;;;
330;411984;286776;0.1;;;
331;404500;288200;0.1;;;
332;420033;308000;0.1;;;
334;468566;280044;0.1;;;
335;458858;286197;0.2;;;
336;453781;281777;0.1;;;
337;451693;292295;0.1;;;
338;443204;286871;0.1;;;
339;435022;297268;0.1;;;
340;439283;300635;0.1;;;
341;431503;309586;0.1;;;
342;430347;323616;0.1;;;
343;437448;312937;0.1;;;
344;446274;318361;0.1;;;
345;453953;324890;0.1;;;
346;442386;309511;0.1;;;
347;452394;299718;0.1;;;
348;468658;289194;0.1;;;
349;463153;299515;0.1;;;
350;472960;303433;0.1;;;
351;452190;266767;0.1;;;
352;443374;272662;0.2;;;
353;429791;282243;0.1;;;
354;424523;284165;0.1;;;
355;407394;299397;1.7;;;
356;389370;311575;0.2;;;
